   2.1929824561403862e+01	   4.6981729471608008e+02	
   5.6390977443609387e+01	   3.9466120923610799e+02	
   1.0651629072681752e+02	   3.4849549910278654e+02	
   2.0676691729323343e+02	   3.1356052854028553e+02	
   2.7882205513784504e+02	   3.0289258649582530e+02	
   4.1353383458646658e+02	   2.9161809850068954e+02	
   5.1378446115288261e+02	   2.8686064273108803e+02	
   1.0056390977443610e+03	   2.7727677181118469e+02	
   1.5162907268170427e+03	   2.7478904361495449e+02	
   2.0081453634085208e+03	   2.7881464015067240e+02	
   2.5031328320802008e+03	   2.7928919932968506e+02	
